[2024-12-29 01:05:59,570: INFO: connection: Connection established:]
[2024-12-29 01:06:01,392: INFO: connection: Connection established:]
[2024-12-29 01:06:03,850: INFO: config: Loading HuggingFace embedding model!!:]
[2024-12-29 01:06:03,865: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-mpnet-base-v2:]
[2024-12-29 01:06:09,800: INFO: SentenceTransformer: 2 prompts are loaded, with the keys: ['query', 'text']:]
[2024-12-29 01:06:11,203: INFO: config: HuggingFace embedding model loaded!!:]
[2024-12-29 01:06:12,892: INFO: _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000:]
[2024-12-29 01:06:12,892: INFO: _internal: [33mPress CTRL+C to quit[0m:]
[2024-12-29 01:06:12,893: INFO: _internal:  * Restarting with stat:]
[2024-12-29 01:06:22,500: INFO: connection: Connection established:]
[2024-12-29 01:06:23,356: INFO: connection: Connection established:]
[2024-12-29 01:06:24,959: INFO: config: Loading HuggingFace embedding model!!:]
[2024-12-29 01:06:25,000: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-mpnet-base-v2:]
[2024-12-29 01:06:28,862: INFO: SentenceTransformer: 2 prompts are loaded, with the keys: ['query', 'text']:]
[2024-12-29 01:06:30,449: INFO: config: HuggingFace embedding model loaded!!:]
[2024-12-29 01:06:32,304: WARNING: _internal:  * Debugger is active!:]
[2024-12-29 01:06:32,316: INFO: _internal:  * Debugger PIN: 139-277-146:]
[2024-12-29 01:10:07,293: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:10:07] "GET / HTTP/1.1" 200 -:]
[2024-12-29 01:10:07,719: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:10:07] "[36mGET /static/login.js HTTP/1.1[0m" 304 -:]
[2024-12-29 01:10:07,720: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:10:07] "[36mGET /static/css/login.css HTTP/1.1[0m" 304 -:]
[2024-12-29 01:21:14,680: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:21:14] "POST /chat HTTP/1.1" 200 -:]
[2024-12-29 01:21:14,790: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:21:14] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -:]
[2024-12-29 01:21:14,814: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:21:14] "[36mGET /static/index.js HTTP/1.1[0m" 304 -:]
[2024-12-29 01:21:29,020: INFO: main: 

 SQL Query generated: select top 20 * from Customer

:]
[2024-12-29 01:21:29,148: INFO: fallback: fallback_attr: name=pandas.notna reason=obj is not DataFrame or Series :]
[2024-12-29 01:21:29,206: INFO: fallback: fallback_attr: name=DataFrame.dtype reason=DataFrame.__getattr__ for dtype is called :]
[2024-12-29 01:21:29,207: INFO: fallback: fallback_attr: name=DataFrame.__array_struct__ reason=DataFrame.__getattr__ for __array_struct__ is called :]
[2024-12-29 01:21:29,207: INFO: fallback: fallback_attr: name=DataFrame.__array_interface__ reason=DataFrame.__getattr__ for __array_interface__ is called :]
[2024-12-29 01:21:29,209: INFO: fallback: fallback_attr: name=DataFrame.to_numpy reason=to_numpy with non-numeric column :]
[2024-12-29 01:21:29,222: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:21:29] "GET /load_data?query=select%20top%2020%20*%20from%20Customer HTTP/1.1" 200 -:]
[2024-12-29 01:22:00,799: INFO: main: 

 SQL Query generated: select top 20 * from Customer

:]
[2024-12-29 01:22:00,905: INFO: fallback: fallback_attr: name=pandas.notna reason=obj is not DataFrame or Series :]
[2024-12-29 01:22:00,953: INFO: fallback: fallback_attr: name=DataFrame.dtype reason=DataFrame.__getattr__ for dtype is called :]
[2024-12-29 01:22:00,953: INFO: fallback: fallback_attr: name=DataFrame.__array_struct__ reason=DataFrame.__getattr__ for __array_struct__ is called :]
[2024-12-29 01:22:00,953: INFO: fallback: fallback_attr: name=DataFrame.__array_interface__ reason=DataFrame.__getattr__ for __array_interface__ is called :]
[2024-12-29 01:22:00,954: INFO: fallback: fallback_attr: name=DataFrame.to_numpy reason=to_numpy with non-numeric column :]
[2024-12-29 01:22:00,960: INFO: _internal: 127.0.0.1 - - [29/Dec/2024 01:22:00] "GET /load_data?query=select%20top%2020%20*%20from%20Customer HTTP/1.1" 200 -:]
